,url,address,neighborhood,rent,beds,baths,area,zip
156,https://www.renthop.com/listings/234-east-87-street/4c/63858016,"234 East 87 Street, Apt 4C","Yorkville, Upper East Side, Upper Manhattan, Manhattan",3800,2,1.0,,10128
157,https://www.renthop.com/listings/95-wall-street/2102/64446153,"95 Wall Street, Apt 2102","Financial District, Downtown Manhattan, Manhattan",3512,0,1.0,444_Sqft,10005
158,https://www.renthop.com/listings/68-east-1st-street/2c/64195576,"68 East 1st Street, Apt 2C","Bowery, Downtown Manhattan, Manhattan",4500,2,1.0,,10003
159,https://www.renthop.com/listings/95-wall-street/2010/64231448,"95 Wall Street, Apt 2010","Financial District, Downtown Manhattan, Manhattan",3767,0,1.0,583_Sqft,10005
160,https://www.renthop.com/listings/120-w-21st/515/64231482,"120 W. 21st, Apt 515","Chelsea, Midtown Manhattan, Manhattan",5402,1,1.0,558_Sqft,10011
161,https://www.renthop.com/listings/234-west-14th-street/b/64183800,"234 West 14th Street, Apt B","West Village, Downtown Manhattan, Manhattan",7495,3,1.0,,10011
162,https://www.renthop.com/listings/545-e-14th-st/04-e/63962965,"545 E 14th St, Apt 04E","Stuyvesant Town - Peter Cooper Village, Midtown Manhattan, Manhattan",4846,1,1.0,,10009
163,https://www.renthop.com/listings/132-east-61st-street/4/63664191,"132 East 61st Street, Apt 4","Lenox Hill, Upper East Side, Upper Manhattan, Manhattan",6600,2,2.0,"1,300_Sqft",10065
164,https://www.renthop.com/listings/325-east-5th-street/d1d2/64485352,"325 East 5th Street, Apt D1D2","East Village, Downtown Manhattan, Manhattan",8995,4,2.0,,10003
165,https://www.renthop.com/listings/1-astor-place/3n/64293247,"1 Astor Place, Apt 3N","NoHo, Downtown Manhattan, Manhattan",4850,1,1.0,900_Sqft,10003
166,https://www.renthop.com/listings/east-86th-street/na/64326363,East 86th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",4600,1,1.0,,
167,https://www.renthop.com/listings/copy-of-hanover-square/6s/64485728,Copy of Hanover Square,"Financial District, Downtown Manhattan, Manhattan",3996,1,1.0,,
